depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,compound,AUC,ERBB2_expr,HER2_group
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.839329891295325,4.085560624872626,HER2_low
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.766184412662735,4.591308404185142,HER2_low
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.772636751461926,6.273094358271646,HER2_mid
ACH-000783,CAMA1,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.875919942467382,6.0496373016547365,HER2_mid
ACH-000117,EFM192A,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.945715706902845,11.393856978544296,HER2_high
ACH-000374,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.831740390472295,5.127798338365821,HER2_mid
ACH-000277,HCC1419,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.851347240579032,11.642241271184114,HER2_high
ACH-000352,HCC1428,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.792361458315407,5.314957492109641,HER2_mid
ACH-000624,HCC1806,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.83637838938336,4.90433958030868,HER2_mid
ACH-000223,HCC1937,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,DICLAZURIL (BRD:BRD-A06426627-001-03-5),0.803669127142776,5.580531438155187,HER2_mid
