compound,n_total_spearman,unique_cell_lines_spearman,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05_spearman,significant_p_0_05_spearman,significant_p_0_10_spearman,n_total_mw,unique_cell_lines_mw,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05_mw,significant_p_0_05_mw,significant_p_0_10_mw
AUY (BRD:BRD-K41859756-001-06-8),16,16,-0.023529411764705882,0.931073583667659,negative,0.9826561405588721,False,False,False,,,,,,,,,,,,,,,
AV-412 (BRD:BRD-K23190681-001-01-1),21,21,0.5103896103896104,0.018076642193560668,positive,0.2477711115369701,False,True,True,7.0,7.0,3.0,4.0,0.9308456697275599,0.8131817212953079,0.95813313984398,0.835981171935742,0.11766394843225203,0.12215196790823801,0.11428571428571428,0.3733333333333333,False,False,False
AVL-292 (BRD:BRD-K87782578-001-01-4),17,17,-0.02696078431372549,0.9181909009189737,negative,0.9785339457396024,False,False,False,,,,,,,,,,,,,,,
AVN-944 (BRD:BRD-K62196610-001-01-6),10,10,0.6121212121212121,0.05997214247725527,positive,0.3782528700529743,False,False,True,,,,,,,,,,,,,,,
AZ 960 (BRD:BRD-K64888243-001-03-7),19,19,0.3719298245614035,0.11687923396377863,positive,0.5051310020891897,False,False,False,,,,,,,,,,,,,,,
AZ-10353926 (BRD:BRD-K19540840-001-09-4),17,17,-0.5392156862745099,0.025503680315881874,negative,0.27802160146819377,False,True,True,,,,,,,,,,,,,,,
AZ20 (BRD:BRD-K42436189-001-01-2),19,19,0.019298245614035085,0.9374978309415845,positive,0.9843169854000227,False,False,False,,,,,,,,,,,,,,,
AZ3146 (BRD:BRD-K59146805-001-03-7),14,14,-0.3054945054945055,0.2881698858754571,negative,0.7068166923000795,False,False,False,,,,,,,,,,,,,,,
AZACITIDINE (BRD:BRD-K03406345-001-21-1),12,12,-0.2447552447552448,0.44326193645018325,negative,0.780776068598229,False,False,False,,,,,,,,,,,,,,,
AZALOMYCIN-B (BRD:BRD-K96104201-001-01-5),22,22,0.13495200451722192,0.549318075362681,positive,0.8343473658608532,False,False,False,8.0,8.0,3.0,5.0,0.7866008649500277,0.7576608513015799,0.79340271527455,0.761849048969231,0.028940013648447782,0.03155366630531897,0.5714285714285714,0.8340425531914892,False,False,False
AZD 2171 (BRD:BRD-K86930074-001-05-0),16,16,0.1764705882352941,0.5132505967364671,positive,0.8207631080131814,False,False,False,,,,,,,,,,,,,,,
AZD-8055 (BRD:BRD-K69932463-001-10-6),21,21,-0.32987012987012987,0.14419837372344504,negative,0.5572774934626994,False,False,False,7.0,7.0,3.0,4.0,0.6253575502317616,0.6537724573156454,0.629589403684138,0.6601167572348614,-0.028414907083883723,-0.030527353550723446,0.6285714285714286,0.8589641434262948,False,False,False
AZD1480 (BRD:BRD-K65928735-001-04-3),10,10,0.6969696969696969,0.02509667588225185,positive,0.2777820489415888,False,True,True,,,,,,,,,,,,,,,
AZD2461 (BRD:BRD-K85014146-001-02-5),13,13,0.13736263736263735,0.6545168402947127,positive,0.8849203763710071,False,False,False,,,,,,,,,,,,,,,
AZD2858 (BRD:BRD-K85849709-001-01-5),20,20,0.030075187969924807,0.8998365956859304,positive,0.9746808320652924,False,False,False,,,,,,,,,,,,,,,
