compound,n_total,unique_cell_lines,spearman_rho,spearman_p,direction,spearman_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
PFI-1 (BRD:BRD-K13094524-001-07-5),20,20,-0.4526315789473684,0.045075688783048344,negative,0.3525300458925629,False,True,True
PODOPHYLLOTOXIN (BRD:BRD-K47869605-001-32-0),22,22,0.43083003952569177,0.04531612548785277,positive,0.3525300458925629,False,True,True
GENIPIN (BRD:BRD-K28824103-001-02-8),18,18,0.4757481940144479,0.0459785720312123,positive,0.3525300458925629,False,True,True
PHA-767491 (BRD:BRD-K50000283-001-04-4),22,22,0.4285714285714286,0.04658379774023283,positive,0.3525300458925629,False,True,True
KP-1212 (BRD:BRD-K46690591-001-01-2),18,18,0.47368421052631576,0.047064111171724266,positive,0.3525300458925629,False,True,True
ZK-811752 (BRD:BRD-K91825936-001-01-2),19,19,0.45964912280701753,0.04770770316578596,positive,0.3525300458925629,False,True,True
ORIDONIN (BRD:BRD-K23925186-001-02-8),21,21,0.43636363636363634,0.04796935978332507,positive,0.3525300458925629,False,True,True
PD-168393 (BRD:BRD-K17702546-001-03-2),21,21,-0.43636363636363634,0.04796935978332507,negative,0.3525300458925629,False,True,True
TRANILAST (BRD:BRD-K17849083-001-32-9),21,21,0.43636363636363634,0.04796935978332507,positive,0.3525300458925629,False,True,True
WAY-600 (BRD:BRD-K85920262-001-02-1),18,18,-0.4716202270381837,0.048168976789553265,negative,0.3525300458925629,False,True,True
DOLUTEGRAVIR (BRD:BRD-K36386086-001-01-1),17,17,-0.4852941176470589,0.048308194284258345,negative,0.3525300458925629,False,True,True
VLX-600 (BRD:BRD-K89053832-001-01-0),17,17,0.4852941176470589,0.048308194284258345,positive,0.3525300458925629,False,True,True
DACLATASVIR (BRD:BRD-K82861010-001-02-5),14,14,-0.5340659340659341,0.04915991637198507,negative,0.3558049684955969,False,True,True
CABAZITAXEL (BRD:BRD-K06858286-001-01-3),22,22,0.4217955957086392,0.05055239993921572,positive,0.36290869224656486,False,False,True
PHENYLBUTAZONE (BRD:BRD-K10843433-001-22-7),12,12,-0.5734265734265735,0.05126558978649151,negative,0.3639341478491657,False,False,True
PALIPERIDONE (BRD:BRD-A99888680-001-03-8),13,13,0.5494505494505494,0.05177062555916278,positive,0.3639341478491657,False,False,True
OTS167 (BRD:BRD-K53417444-003-03-1),22,22,0.4195369847543761,0.051931713056619346,positive,0.3639341478491657,False,False,True
LB42708 (BRD:BRD-K18834913-001-01-1),21,21,0.42727272727272725,0.053370405215496956,positive,0.3710714000416048,False,False,True
GALETERONE (BRD:BRD-A07986123-001-02-8),20,20,-0.4360902255639097,0.05458409967322206,negative,0.3741428027766642,False,False,True
CYCLOHEXIMIDE (BRD:BRD-K36055864-001-19-2),17,17,0.4730392156862746,0.055144481799935384,positive,0.3741428027766642,False,False,True
EPOTHILONE-A (BRD:BRD-K71823332-001-03-7),22,22,0.4138904573687183,0.05550702963051303,positive,0.3741428027766642,False,False,True
SB-939 (BRD:BRD-K86797399-001-05-1),22,22,0.4138904573687183,0.05550702963051303,positive,0.3741428027766642,False,False,True
3-DEAZANEPLANOCIN-A (BRD:BRD-K77791657-003-01-7),21,21,0.4207792207792207,0.05750513790191279,positive,0.3782528700529743,False,False,True
DANUSERTIB (BRD:BRD-K07881437-001-04-6),21,21,0.4207792207792207,0.05750513790191279,positive,0.3782528700529743,False,False,True
DOMIPHEN (BRD:BRD-K30431096-004-01-3),17,17,0.46813725490196084,0.058071924895836145,positive,0.3782528700529743,False,False,True
BIX-01294 (BRD:BRD-K26818574-305-04-3),21,21,0.4194805194805195,0.05836062913446332,positive,0.3782528700529743,False,False,True
CEPHALOMANNINE (BRD:BRD-K68904758-001-03-5),22,22,0.409373235460192,0.05850104223477929,positive,0.3782528700529743,False,False,True
GW-583340 (BRD:BRD-K79930101-300-03-7),19,19,-0.4403508771929824,0.05917790378249743,negative,0.3782528700529743,False,False,True
