compound,n_total,unique_cell_lines,n_high,n_low,auc_mean_high,auc_mean_low,auc_median_high,auc_median_low,delta_mean_high_minus_low,delta_median_high_minus_low,mw_p,mw_fdr,significant_fdr_0_05,significant_p_0_05,significant_p_0_10
BORTEZOMIB (BRD:BRD-K88510285-001-17-8),8,8,3,5,0.7627573281632726,0.6035677212616145,0.777286775124503,0.5972467476146853,0.15918960690165807,0.18004002750981762,0.14285714285714285,0.3951612903225806,False,False,False
CARFILZOMIB (BRD:BRD-K15179879-001-03-2),8,8,3,5,0.6502815356799355,0.44324450605171944,0.7399800763197212,0.442249221396922,0.20703702962821607,0.29773085492279916,0.14285714285714285,0.3951612903225806,False,False,False
CCT137690 (BRD:BRD-K03289018-001-02-7),8,8,3,5,0.8586267451738699,0.7799059013803136,0.842633121188138,0.766198567959092,0.07872084379355637,0.07643455322904602,0.14285714285714285,0.3951612903225806,False,False,False
CETRIMONIUM (BRD:BRD-K47079459-004-04-6),8,8,3,5,0.9068254264377803,0.8459498034624586,0.887132446954426,0.864950669012587,0.060875622975321675,0.022181777941838954,0.14285714285714285,0.3951612903225806,False,False,False
DIOSCIN (BRD:BRD-K37723606-001-01-5),8,8,3,5,0.9247707272817457,0.8307508844872714,0.932197971125384,0.829146281218645,0.09401984279447428,0.10305168990673907,0.14285714285714285,0.3951612903225806,False,False,False
EPOTHILONE-B (BRD:BRD-K68164687-001-01-6),8,8,3,5,0.380170629482739,0.2622511234767716,0.38543520195372,0.262773043854361,0.1179195060059674,0.12266215809935899,0.14285714285714285,0.3951612903225806,False,False,False
FLUVASTATIN (BRD:BRD-K66296774-236-11-3),8,8,3,5,0.8787507770759037,0.7879639027060739,0.87080430040993,0.763689898764151,0.0907868743698298,0.1071144016457789,0.14285714285714285,0.3951612903225806,False,False,False
HEXAMINOLEVULINATE (BRD:BRD-K73753850-003-01-6),8,8,3,5,0.9463499929188407,0.8987014810564137,0.936143257393279,0.897865273093996,0.04764851186242702,0.038277984299282974,0.14285714285714285,0.3951612903225806,False,False,False
LDN-212854 (BRD:BRD-K59831625-001-01-6),8,8,3,5,0.813341058448382,0.7643999637519588,0.827078024627674,0.757464557352372,0.04894109469642316,0.06961346727530204,0.14285714285714285,0.3951612903225806,False,False,False
MK 2206 (BRD:BRD-K68065987-300-09-1),8,8,3,5,0.7432438254583129,0.8263605140051051,0.793387733280005,0.841269440478151,-0.08311668854679222,-0.047881707198145995,0.14285714285714285,0.3951612903225806,False,False,False
