gene_original,SYMBOL,ENTREZID
SLC4A8 (9498),SLC4A8,9498
LAMC3 (10319),LAMC3,10319
PTGER3 (5733),PTGER3,5733
TNIP3 (79931),TNIP3,79931
MAPK9 (5601),MAPK9,5601
COL23A1 (91522),COL23A1,91522
BCAR1 (9564),BCAR1,9564
FHIP1B (84067),FHIP1B,84067
HERPUD1 (9709),HERPUD1,9709
HOMER3 (9454),HOMER3,9454
RAD51 (5888),RAD51,5888
POLQ (10721),POLQ,10721
PIK3CB (5291),PIK3CB,5291
CYBA (1535),CYBA,1535
THOC3 (84321),THOC3,84321
HEBP2 (23593),HEBP2,23593
MPHOSPH9 (10198),MPHOSPH9,10198
PLEKHA5 (54477),PLEKHA5,54477
PRSS8 (5652),PRSS8,5652
SIKE1 (80143),SIKE1,80143
RRP12 (23223),RRP12,23223
FNIP2 (57600),FNIP2,57600
MSMO1 (6307),MSMO1,6307
TTC17 (55761),TTC17,55761
ALX4 (60529),ALX4,60529
FSTL4 (23105),FSTL4,23105
FOXN3 (1112),FOXN3,1112
AKR7A2 (8574),AKR7A2,8574
MRTO4 (51154),MRTO4,51154
NNAT (4826),NNAT,4826
USE1 (55850),USE1,55850
MCF2L2 (23101),MCF2L2,23101
NRIP2 (83714),NRIP2,83714
LAMA3 (3909),LAMA3,3909
AP5M1 (55745),AP5M1,55745
ANAPC4 (29945),ANAPC4,29945
KCNQ1 (3784),KCNQ1,3784
TRAPPC3 (27095),TRAPPC3,27095
THRAP3 (9967),THRAP3,9967
PHPT1 (29085),PHPT1,29085
ENTPD2 (954),ENTPD2,954
LY75 (4065),LY75,4065
ARID4B (51742),ARID4B,51742
OPN3 (23596),OPN3,23596
SDCCAG8 (10806),SDCCAG8,10806
PTPRN (5798),PTPRN,5798
HHAT (55733),HHAT,55733
KIF1B (23095),KIF1B,23095
FOXC1 (2296),FOXC1,2296
TBC1D22A (25771),TBC1D22A,25771
SYNE2 (23224),SYNE2,23224
PLEKHH1 (57475),PLEKHH1,57475
ATP9A (10079),ATP9A,10079
CHRDL2 (25884),CHRDL2,25884
FAM168A (23201),FAM168A,23201
RELT (84957),RELT,84957
GALC (2581),GALC,2581
NOP58 (51602),NOP58,51602
SZRD1 (26099),SZRD1,26099
KCNH2 (3757),KCNH2,3757
CUL1 (8454),CUL1,8454
FAM114A2 (10827),FAM114A2,10827
CYFIP2 (26999),CYFIP2,26999
TAB2 (23118),TAB2,23118
GINM1 (116254),GINM1,116254
EIF2AK2 (5610),EIF2AK2,5610
USP36 (57602),USP36,57602
KMT2C (58508),KMT2C,58508
MCOLN3 (55283),MCOLN3,55283
