Compuesto completo,Compuesto,n HER2-high,n HER2-low,Mediana AUC HER2-high,Mediana AUC HER2-low,Diferencia de medianas,p-valor,Criterio n>=3,FDR
EPOTHILONE-D (BRD:BRD-K52762805-001-01-2),EPOTHILONE-D,4,4,0.40976855549644353,0.08156790937308755,0.328200646123356,0.11428571428571428,Sí,0.42448979591836733
HALOFUGINONE (BRD:BRD-K54247840-004-01-3),HALOFUGINONE,4,4,0.7010540687203359,0.5826192910396225,0.11843477768071342,0.11428571428571428,Sí,0.42448979591836733
ICG-001 (BRD:BRD-K94455792-001-01-8),ICG-001,3,4,0.949789235309131,0.8385033988831445,0.11128583642598644,0.11428571428571428,Sí,0.42448979591836733
IDARUBICIN (BRD:BRD-K69650333-003-14-0),IDARUBICIN,4,3,0.7152506650349926,0.55700228507418,0.15824837996081254,0.11428571428571428,Sí,0.42448979591836733
KX2-391 (BRD:BRD-K29968218-001-03-2),KX2-391,4,4,0.6597578369873195,0.5415175029247026,0.11824033406261691,0.11428571428571428,Sí,0.42448979591836733
OLAPARIB (BRD:BRD-K02113016-001-19-6),OLAPARIB,3,4,0.9477736308799644,0.8336104713113958,0.1141631595685686,0.11428571428571428,Sí,0.42448979591836733
OUABAIN (BRD:BRD-K33277808-331-01-3),OUABAIN,4,4,0.5573573507070035,0.503743080501833,0.05361427020517051,0.11428571428571428,Sí,0.42448979591836733
PF-04691502 (BRD:BRD-K07310275-001-02-5),PF-04691502,4,4,0.691700523967442,0.67201502764911,0.01968549631833194,0.11428571428571428,Sí,0.42448979591836733
PF-477736 (BRD:BRD-K03063480-001-06-6),PF-477736,4,4,0.864203295677032,0.5933876955653501,0.27081560011168193,0.11428571428571428,Sí,0.42448979591836733
PHA-680632 (BRD:BRD-K09443272-001-03-3),PHA-680632,4,4,0.863274578326786,0.7999010859416635,0.06337349238512247,0.11428571428571428,Sí,0.42448979591836733
